,Symbol,Price,Company name
0,NSE:BHARTIARTL,690.15,Bharti Airtel Limited
1,NSE:ASHOKLEY,144.5,Ashok Leyland Limited
2,NSE:AUROPHARMA,721.65,Aurobindo Pharma Limited
3,NSE:SANWARIA,0.7,Sanwaria Agro Oils Limited
4,NSE:ALMONDZ,134.7,Almondz Global Securities Limited
5,NSE:SBIN,496.65,State Bank of India
6,NSE:BPCL,462.7,Bharat Petroleum Corporation Limited
7,NSE:MBECL,6.85,McNally Bharat Engineering Company Limited
8,NSE:MAHABANK,21.4,Bank of Maharashtra
9,NSE:BOSCHLTD,17900.0,Bosch Limited
10,NSE:IDBI,63.0,IDBI Bank Limited
11,NSE:DABUR,621.8,Dabur India Limited
12,NSE:TCIDEVELOP,364.0,TCI Developers Limited
13,NSE:DRREDDY,4916.0,Dr. Reddy's Laboratories Limited
14,NSE:DPSCLTD,16.85,India Power Corporation Limited
16,NSE:MAHLIFE,282.7,Mahindra Lifespace Developers Limited
17,NSE:LPDC,4.6,Landmark Property Development Company Limited
18,NSE:KAUSHALYA,2.8,Kaushalya Infrastructure Development Corporation Limited
19,NSE:IRB,219.65,IRB Infrastructure Developers Limited
20,NSE:HDIL,5.55,Housing Development and Infrastructure Limited
21,NSE:HDFC,2810.65,Housing Development Finance Corporation Limited
22,NSE:GOENKA,1.2,Goenka Diamond and Jewels Limited
23,NSE:ENERGYDEV,11.2,Energy Development Company Limited
24,NSE:SCHNEIDER,122.85,Schneider Electric Infrastructure Limited
25,NSE:TATAELXSI,6265.0,Tata Elxsi Limited
26,NSE:SWARAJENG,1758.0,Swaraj Engines Limited
27,NSE:RECLTD,166.05,Rural Electrification Corporation Limited
28,NSE:PEL,2844.5,Piramal Enterprises Limited
32,NSE:ADANIPORTS,824.45,Adani Ports and Special Economic Zone Limited
33,NSE:OFSS,4783.05,Oracle Financial Services Software Limited
34,NSE:LICHSGFIN,452.9,LIC Housing Finance Limited
36,NSE:PFS,22.25,PTC India Financial Services Limited
37,NSE:PFC,151.25,Power Finance Corporation Limited
38,NSE:MUTHOOTFIN,1576.4,Muthoot Finance Limited
41,NSE:FACT,127.6,The Fertilisers And Chemicals Travancore Limited
43,NSE:GSPL,320.75,Gujarat State Petronet Limited
44,NSE:GAIL,162.5,GAIL (India) Limited
45,NSE:POWERGRID,207.15,Power Grid Corporation of India Limited
46,NSE:VHL,3209.0,Vardhman Holdings Limited
47,NSE:HINDUNILVR,2676.05,Hindustan Unilever Limited
48,NSE:HINDPETRO,336.75,Hindustan Petroleum Corporation Limited
49,NSE:HCC,10.75,Hindustan Construction Company Limited
50,NSE:HIRECT,190.95,Hind Rectifiers Limited
52,NSE:ROHLTD,93.35,Royal Orchid Hotels Limited
53,NSE:JUBLINDS,530.0,Jubilant Industries Limited
54,NSE:JISLJALEQS,51.75,Jain Irrigation Systems Limited
58,NSE:JYOTHYLAB,163.25,Jyothy Laboratories Limited
59,NSE:JUBLFOOD,4350.0,Jubilant FoodWorks Limited
61,NSE:JSWSTEEL,713.5,JSW Steel Limited
62,NSE:JPPOWER,5.45,Jaiprakash Power Ventures Limited
63,NSE:JPOLYINVST,131.25,Jindal Poly Investment and Finance Company Limited
64,NSE:JKTYRE,153.25,JK Tyre & Industries Limited
65,NSE:JKPAPER,253.75,JK Paper Limited
66,NSE:JISLDVREQS,29.65,Jain Irrigation Systems Limited
67,NSE:JINDCOT,3.7,Jindal Cotex Limited
68,NSE:JINDALSAW,124.85,Jindal Saw Limited
69,NSE:JBFIND,24.45,JBF Industries Limited
71,NSE:JAGRAN,62.5,Jagran Prakashan Limited
74,NSE:JAMNAAUTO,99.3,Jamna Auto Industries Limited
75,NSE:JAICORPLTD,138.8,Jai Corp Limited
76,NSE:JMA,71.05,Jullundur Motor Agency (Delhi) Limited
78,NSE:JUSTDIAL,927.35,Just Dial Limited
79,NSE:JKIL,178.55,J. Kumar Infraprojects Limited
80,NSE:J&KBANK,41.15,The Jammu and Kashmir Bank Limited
86,NSE:PCJEWELLER,30.0,PC Jeweller Limited
89,NSE:JSWENERGY,397.0,JSW Energy Limited
91,NSE:JKCEMENT,3498.05,J.K. Cement Limited
94,NSE:JUNIORBEES,471.27,Goldman Sachs Junior BeES ETF
96,NSE:JINDALPHOT,163.0,Jindal Photo Limited
98,NSE:JAYAGROGN,253.6,Jayant Agro-Organics Limited
99,NSE:JAIBALAJI,56.1,Jai Balaji Industries Limited
100,NSE:JINDWORLD,115.7,Jindal Worldwide Limited
103,NSE:JSWHL,4787.55,JSW Holdings Limited
105,NSE:KPRMILL,466.35,K.P.R. Mill Limited
107,NSE:KOTAKBANK,2038.0,Kotak Mahindra Bank Limited
111,NSE:KSCL,554.85,Kaveri Seed Company Limited
112,NSE:KOTHARIPRO,110.5,Kothari Products Limited
113,NSE:KOTARISUG,35.2,Kothari Sugars and Chemicals Limited
114,NSE:KOPRAN,218.8,Kopran Limited
115,NSE:KNRCON,310.15,KNR Constructions Limited
116,NSE:KITEX,166.7,Kitex Garments Limited
117,NSE:KIRLOSENG,222.0,Kirloskar Oil Engines Limited
121,NSE:KEC,464.65,KEC International Limited
122,NSE:KCPSUGIND,23.65,K.C.P. Sugar and Industries Corporation Limited
123,NSE:EKC,124.0,Everest Kanto Cylinder Limited
124,NSE:KSL,403.45,Kalyani Steels Limited
125,NSE:KANSAINER,608.25,Kansai Nerolac Paints Limited
128,NSE:MRF,85290.0,MRF Limited
129,NSE:TATASTEEL,1409.15,Tata Steel Limited
130,NSE:RELIANCE,2702.35,Reliance Industries Limited
131,NSE:NOCIL,308.8,NOCIL Limited
132,NSE:ICIL,291.35,Indo Count Industries Limited
133,NSE:TCS,3633.9,Tata Consultancy Services Limited
135,NSE:SASKEN,1388.3,Sasken Technologies Limited
136,NSE:RELINFRA,99.5,Reliance Infrastructure Limited
137,NSE:PRAJIND,335.95,Praj Industries Limited
139,NSE:MARUTI,7671.6,Maruti Suzuki India Limited
140,NSE:LUPIN,940.95,Lupin Limited
143,NSE:YESBANK,14.15,Yes Bank Limited
144,NSE:XPROINDIA,669.0,Xpro India Limited
145,NSE:VOLTAS,1342.75,Voltas Limited
146,NSE:VISAKAIND,682.0,Visaka Industries Limited
148,NSE:UFO,105.85,UFO Moviez India Limited
149,NSE:UFLEX,644.0,Uflex Limited
150,NSE:TV18BRDCST,48.05,TV18 Broadcast Limited
151,NSE:TRIGYN,130.05,Trigyn Technologies Limited
152,NSE:TRENT,1175.2,Trent Limited
153,NSE:TIDEWATER,1792.25,"Tide Water Oil Co. (India), Ltd."
154,NSE:TECHM,1443.7,Tech Mahindra Limited
155,NSE:TATAMOTORS,522.4,Tata Motors Limited
156,NSE:TATACHEM,1123.4,Tata Chemicals Limited
157,NSE:SUNPHARMA,841.95,Sun Pharmaceutical Industries Limited
159,NSE:SUBROS,357.25,Subros
160,NSE:SOUTHBANK,10.6,The South Indian Bank Limited
161,NSE:SKFINDIA,3269.85,SKF India Limited
162,NSE:SIEMENS,2282.1,Siemens Limited
164,NSE:MINDTREE,4747.95,Mindtree Limited
165,NSE:MINDAIND,788.0,Minda Industries Limited
166,NSE:MEGASOFT,18.85,Megasoft Limited
167,NSE:MCDOWELL-N,889.5,UNITED SPIRITS INR10
168,NSE:MAGNUM,8.1,Magnum Ventures Limited
169,NSE:SABTN,2.6,Sri Adhikari Brothers Television Network Limited
170,NSE:PNC,41.55,Pritish Nandy Communications Ltd
171,NSE:NTPC,150.85,NTPC Limited
172,NSE:NCLIND,249.65,NCL Industries Limited
173,NSE:NBCC,49.6,NBCC (India) Limited
174,NSE:UNITEDTEA,415.1,The United Nilgiri Tea Estates Company Limited
175,NSE:RAMANEWS,20.55,Shree Rama Newsprint Limited
176,NSE:NMDC,156.65,NMDC Limited
177,NSE:NIITLTD,358.35,NIIT Limited
178,NSE:NHPC,33.5,NHPC Limited
179,NSE:NELCO,915.0,Nelco Limited
180,NSE:NELCAST,91.05,Nelcast Limited
181,NSE:NECCLTD,18.95,North Eastern Carrying Corporation Limited
182,NSE:CONCOR,691.75,Container Corporation of India Limited
183,NSE:UNIONBANK,46.95,Union Bank of India
187,NSE:OMAXE,81.75,Omaxe Limited
188,NSE:OMAXAUTO,48.85,Omax Autos Limited
189,NSE:OIL,239.0,Oil India Limited
190,NSE:OBEROIRLTY,962.15,Oberoi Realty Limited
191,NSE:MCX,1980.0,Multi Commodity Exchange of India Limited
193,NSE:LAOPALA,312.15,La Opala RG Limited
195,NSE:BANKINDIA,61.1,Bank of India Limited
196,NSE:BANG,36.7,Bang Overseas Limited
197,NSE:ABAN,67.05,Aban Offshore Limited
198,NSE:ONWARDTEC,225.0,Onward Technologies Limited
201,NSE:TCI,468.35,Transport Corporation of India Limited
202,NSE:ORIENTBELL,360.35,Orient Bell Limited
206,NSE:QUINTEGRA,1.05,Quintegra Solutions Limited
207,NSE:QUICKHEAL,234.35,Quick Heal Technologies Limited
208,NSE:QGOLDHALF,2038.0,Quantum Gold ETF
210,NSE:QNIFTY,1926.0,Quantum Index ETF
212,NSE:INDOCO,487.65,Indoco Remedies Limited
214,NSE:TEXRAIL,37.0,Texmaco Rail & Engineering Limited
216,NSE:UTTAMSTL,4.35,Uttam Galva Steels Limited
217,NSE:USHAMART,91.5,Usha Martin Limited
218,NSE:UNITECH,1.8,Unitech Limited
220,NSE:UNIENTER,129.2,Uniphos Enterprises Ltd.
221,NSE:UMESLTD,4.0,Usha Martin Education & Solutions Limited
222,NSE:UGARSUGAR,29.35,The Ugar Sugar Works Limited
223,NSE:CUB,171.2,City Union Bank Limited
224,NSE:BVCL,23.0,Barak Valley Cements Limited
225,NSE:VSTTILLERS,3274.0,V.S.T. Tillers Tractors Limited
226,NSE:VSTIND,3824.7,VST Industries Limited
227,NSE:VOLTAMP,1480.0,Voltamp Transformers Limited
229,NSE:VIPIND,575.0,VIP Industries Limited
230,NSE:VIMTALABS,305.15,Vimta Labs Limited
234,NSE:HMVL,79.7,Hindustan Media Ventures Limited
235,NSE:VLSFINANCE,201.65,VLS Finance Limited
248,NSE:VMART,4337.8,V-Mart Retail Limited
249,NSE:GEECEE,159.45,GeeCee Ventures Limited
250,NSE:VINYLINDIA,293.95,Vinyl Chemicals India Ltd.
251,NSE:GNFC,481.8,Gujarat Narmada Valley Fertilizers & Chemicals Limited
253,NSE:VESUVIUS,1196.0,Vesuvius India Limited
254,NSE:VAIBHAVGBL,728.95,Vaibhav Global Limited
256,NSE:VADILALIND,1091.0,Vadilal Industries Limited
259,NSE:VASWANI,18.8,Vaswani Industries Limited
261,NSE:WIPRO,717.2,Wipro Limited
262,NSE:WANBURY,84.0,Wanbury Limited
267,NSE:WELSPUNIND,157.8,Welspun India Limited
268,NSE:WEBELSOLAR,82.9,Websol Energy System Limited
270,NSE:WABCOINDIA,7750.0,Wabco India Limited
276,NSE:WOCKPHARMA,486.3,Wockhardt Limited
280,NSE:WHIRLPOOL,2438.15,Whirlpool of India Limited
281,NSE:WILLAMAGOR,25.05,Williamson Magor & Co. Limited
282,NSE:WENDT,4438.95,Wendt (India) Limited
283,NSE:ZYDUSWELL,2323.0,Zydus Wellness Limited
284,NSE:WSTCSTPAPR,274.7,West Coast Paper Mills Limited
286,NSE:WELENT,101.75,Welspun Enterprises Limited
287,NSE:SSWL,1859.0,Steel Strips Wheels Limited
288,NSE:WONDERLA,249.35,Wonderla Holidays Limited
291,NSE:XCHANGING,113.8,Xchanging Solutions Limited
299,NSE:HINDZINC,386.0,Hindustan Zinc Limited
301,NSE:ZENITHEXPO,95.0,Zenith Exports Limited
305,NSE:TBZ,89.5,Tribhovandas Bhimji Zaveri Limited
306,NSE:ZEEL,316.45,Zee Entertainment Enterprises Limited
307,NSE:ZUARIGLOB,136.05,Zuari Global Limited
310,NSE:ZEEMEDIA,13.0,Zee Media Corporation Limited
312,NSE:ZUARI,125.1,Zuari Agro Chemicals Limited
313,NSE:ZEELEARN,14.3,Zee Learn Limited
314,NSE:ZENTEC,226.2,Zen Technologies Limited
319,NSE:ZENSARTECH,513.85,Zensar Technologies Limited
321,NSE:ZODIACLOTH,119.0,Zodiac Clothing Company Limited
323,NSE:ZICOM,1.6,Zicom Electronic Security Systems Limited
324,NSE:AARVEEDEN,27.1,Aarvee Denims and Exports Limited
327,NSE:AARTIIND,1110.6,Aarti Industries Limited
328,NSE:AARTIDRUGS,630.65,Aarti Drugs Limited
329,NSE:ABB,1852.0,ABB India Limited
332,NSE:ABFRL,267.9,Aditya Birla Fashion and Retail Limited
336,NSE:ORIENTABRA,30.25,Orient Abrasives Limited
339,NSE:ABBOTINDIA,21584.05,Abbott India Limited
341,NSE:IMPAL,792.0,India Motor Parts and Accessories Limited
343,NSE:ACCELYA,1409.4,Accelya Kale Solutions Limited
346,NSE:ACE,261.8,Action Construction Equipment Limited
349,NSE:TREEHOUSE,9.5,Tree House Education & Accessories Limited
350,NSE:ACC,2303.25,ACC Limited
353,NSE:VARDHACRLC,69.95,Vardhman Acrylics Limited
