,Symbol,Price,PrevDayClose,ChangeInPercentage
0,NSE:BHARTIARTL,691.05,685.8,0.77
1,NSE:ASHOKLEY,144.5,144.75,-0.17
2,NSE:AUROPHARMA,721.4,727.15,-0.79
3,NSE:SANWARIA,0.7,0.7,0.0
4,NSE:ALMONDZ,134.6,128.3,4.91
5,NSE:SBIN,497.9,490.6,1.49
6,NSE:BPCL,463.7,459.3,0.96
7,NSE:MBECL,6.75,6.9,-2.17
8,NSE:MAHABANK,21.8,21.1,3.32
9,NSE:BOSCHLTD,17895.85,17863.85,0.18
10,NSE:IDBI,63.3,62.5,1.28
11,NSE:DABUR,621.95,615.2,1.1
12,NSE:TCIDEVELOP,359.15,358.55,0.17
13,NSE:DRREDDY,4900.1,4958.7,-1.18
14,NSE:DPSCLTD,16.75,16.4,2.13
15,NSE:MAHLIFE,280.65,274.15,2.37
16,NSE:LPDC,4.85,4.75,2.11
17,NSE:KAUSHALYA,2.8,2.75,1.82
18,NSE:IRB,218.0,211.9,2.88
19,NSE:HDIL,5.6,5.35,4.67
20,NSE:HDFC,2806.6,2808.75,-0.08
21,NSE:GOENKA,1.2,1.15,4.35
22,NSE:ENERGYDEV,11.25,11.25,0.0
23,NSE:SCHNEIDER,122.5,119.75,2.3
24,NSE:TATAELXSI,6303.35,6259.95,0.69
25,NSE:SWARAJENG,1759.25,1753.6,0.32
26,NSE:RECLTD,167.25,164.75,1.52
27,NSE:PEL,2852.2,2835.75,0.58
28,NSE:ADANIPORTS,824.2,812.8,1.4
29,NSE:OFSS,4783.95,4777.7,0.13
30,NSE:LICHSGFIN,454.4,443.3,2.5
31,NSE:PFS,21.85,21.4,2.1
32,NSE:PFC,153.0,148.95,2.72
33,NSE:MUTHOOTFIN,1570.7,1552.6,1.17
34,NSE:FACT,127.2,127.2,0.0
35,NSE:GSPL,320.8,318.25,0.8
36,NSE:GAIL,163.0,160.05,1.84
37,NSE:POWERGRID,207.15,204.65,1.22
38,NSE:VHL,3180.1,3183.45,-0.11
39,NSE:HINDUNILVR,2653.95,2649.55,0.17
40,NSE:HINDPETRO,337.05,331.35,1.72
41,NSE:HCC,11.25,10.65,5.63
42,NSE:HIRECT,187.45,186.8,0.35
43,NSE:ROHLTD,94.0,91.8,2.4
44,NSE:JUBLINDS,529.85,516.6,2.56
45,NSE:JISLJALEQS,50.45,51.25,-1.56
46,NSE:JYOTHYLAB,163.0,162.35,0.4
47,NSE:JUBLFOOD,4355.45,4409.6,-1.23
48,NSE:JSWSTEEL,723.1,692.85,4.37
49,NSE:JPPOWER,5.45,5.45,0.0
50,NSE:JPOLYINVST,131.25,125.0,5.0
51,NSE:JKTYRE,153.1,151.7,0.92
52,NSE:JKPAPER,253.2,251.05,0.86
53,NSE:JISLDVREQS,28.6,29.1,-1.72
54,NSE:JINDCOT,3.6,3.55,1.41
55,NSE:JINDALSAW,125.05,121.85,2.63
56,NSE:JBFIND,24.15,24.5,-1.43
57,NSE:JAGRAN,65.25,62.05,5.16
58,NSE:JAMNAAUTO,99.2,98.9,0.3
59,NSE:JAICORPLTD,139.6,138.6,0.72
60,NSE:JMA,71.2,70.65,0.78
61,NSE:JUSTDIAL,922.75,935.05,-1.32
62,NSE:JKIL,177.9,176.25,0.94
63,NSE:J&KBANK,40.9,38.95,5.01
64,NSE:PCJEWELLER,29.8,29.4,1.36
65,NSE:JSWENERGY,396.0,394.0,0.51
66,NSE:JKCEMENT,3499.0,3456.0,1.24
67,NSE:JUNIORBEES,472.0,466.86,1.1
68,NSE:JINDALPHOT,169.7,167.8,1.13
69,NSE:JAYAGROGN,251.4,254.65,-1.28
70,NSE:JAIBALAJI,55.5,55.0,0.91
71,NSE:JINDWORLD,117.0,113.15,3.4
72,NSE:JSWHL,4765.55,4698.1,1.44
73,NSE:KPRMILL,467.85,471.95,-0.87
74,NSE:KOTAKBANK,2023.0,2017.8,0.26
75,NSE:KSCL,555.0,554.45,0.1
76,NSE:KOTHARIPRO,108.1,106.45,1.55
77,NSE:KOTARISUG,35.05,35.2,-0.43
78,NSE:KOPRAN,217.25,214.5,1.28
79,NSE:KNRCON,309.85,306.45,1.11
80,NSE:KITEX,166.5,166.35,0.09
81,NSE:KIRLOSENG,223.25,208.95,6.84
82,NSE:KEC,464.85,459.7,1.12
