,Symbol,Company Name,Price,PrevDayClose,ChangeInPercentage,volumn
0,NSE:RELIANCE,Reliance Industries Limited,2735.0,2700.4,1.28,4742408.0
1,NSE:TCS,Tata Consultancy Services Limited,3631.1,3611.45,0.54,2812735.0
2,NSE:HDFCBANK,HDFC Bank Limited,1675.85,1687.4,-0.68,12085187.0
3,NSE:INFY,Infosys Limited,1779.0,1715.75,3.69,9641195.0
4,NSE:HINDUNILVR,Hindustan Unilever Limited,2648.65,2649.55,-0.03,1257395.0
5,NSE:HDFC,Housing Development Finance Corporation Limited,2815.65,2808.75,0.25,2096497.0
6,NSE:ICICIBANK,ICICI Bank Limited,747.5,727.3,2.78,12912889.0
7,NSE:KOTAKBANK,Kotak Mahindra Bank Limited,2022.95,2017.8,0.26,1565625.0
8,NSE:SBIN,State Bank of India,496.85,490.6,1.27,16405699.0
9,NSE:BAJFINANCE,Bajaj Finance Limited,7865.75,7862.9,0.04,744470.0
10,NSE:BHARTIARTL,Bharti Airtel Limited,682.9,685.8,-0.42,5907552.0
11,NSE:ITC,ITC Limited,261.75,256.55,2.03,48146263.0
12,NSE:HCLTECH,HCL Technologies Limited,1218.5,1251.15,-2.61,19714474.0
13,NSE:ASIANPAINT,Asian Paints Limited,3254.6,3297.8,-1.31,1261082.0
14,NSE:WIPRO,Wipro Limited,706.7,708.25,-0.22,8070835.0
15,NSE:AXISBANK,Axis Bank Limited,815.6,802.05,1.69,9006813.0
16,NSE:MARUTI,Maruti Suzuki India Limited,7675.5,7496.9,2.38,777935.0
17,NSE:LT,Larsen & Toubro Limited,1794.1,1789.3,0.27,1491572.0
18,NSE:ULTRACEMCO,UltraTech Cement Limited,7632.4,7395.5,3.2,798024.0
19,NSE:DMART,Avenue Supermarts Limited,4976.3,5323.75,-6.53,3797116.0
20,NSE:ADANIGREEN,Adani Green Energy Limited,1203.0,1206.55,-0.29,216861.0
21,NSE:BAJAJFINSV,Bajaj Finserv Limited,18743.75,18488.9,1.38,252962.0
22,NSE:SUNPHARMA,Sun Pharmaceutical Industries Limited,838.1,841.3,-0.38,2257166.0
23,NSE:ADANIPORTS,Adani Ports and Special Economic Zone Limited,818.8,812.8,0.74,7572722.0
24,NSE:HDFCLIFE,HDFC Life Insurance Company Limited,705.45,693.8,1.68,4099484.0
25,NSE:TITAN,Titan Company Limited,2603.05,2564.05,1.52,2256203.0
26,NSE:ONGC,Oil & Natural Gas Corporation Limited,162.75,159.05,2.33,19746002.0
27,NSE:HINDZINC,Hindustan Zinc Limited,389.5,346.7,12.34,7856993.0
28,NSE:ADANIENT,Adani Enterprises Limited,1621.05,1646.35,-1.54,3173669.0
29,NSE:JSWSTEEL,JSW Steel Limited,725.0,692.85,4.64,8165071.0
30,NSE:POWERGRID,Power Grid Corporation of India Limited,202.65,204.65,-0.98,25980654.0
31,NSE:SHREECEM,SHREE CEMENT LIMITED,28245.05,27956.45,1.03,24173.0
32,NSE:BAJAJ-AUTO,Bajaj Auto Limited,3906.0,3965.9,-1.51,345746.0
33,NSE:ATGL,Adani Total Gas Limited,1468.1,1452.0,1.11,688447.0
34,NSE:NTPC,NTPC Limited,148.85,149.4,-0.37,21077697.0
35,NSE:TATAMOTORS,Tata Motors Limited,509.1,497.6,2.31,62965596.0
36,NSE:ADANITRANS,Adani Transmission Limited,1737.0,1687.3,2.95,79036.0
37,NSE:M&M,Mahindra & Mahindra Limited,915.65,931.4,-1.69,2299013.0
38,NSE:DIVISLAB,Divi's Laboratories Limited,5346.9,5372.15,-0.47,441470.0
