Symbol,Price,PrevDayClose,ChangeInPercentage
NSE:BHARTIARTL,691.05,685.8,0.77
NSE:ASHOKLEY,144.5,144.75,-0.17
NSE:AUROPHARMA,721.4,727.15,-0.79
NSE:SANWARIA,0.7,0.7,0
NSE:ALMONDZ,134.6,128.3,4.91
NSE:SBIN,497.9,490.6,1.49
NSE:BPCL,463.7,459.3,0.96
NSE:MBECL,6.75,6.9,-2.17
NSE:MAHABANK,21.8,21.1,3.32
NSE:BOSCHLTD,17895.85,17863.85,0.18
NSE:IDBI,63.3,62.5,1.28
NSE:DABUR,621.95,615.2,1.1
NSE:TCIDEVELOP,359.15,358.55,0.17
NSE:DRREDDY,4900.1,4958.7,-1.18
NSE:DPSCLTD,16.75,16.4,2.13
NSE:MAHLIFE,280.65,274.15,2.37
NSE:LPDC,4.85,4.75,2.11
NSE:KAUSHALYA,2.8,2.75,1.82
NSE:IRB,218,211.9,2.88
NSE:HDIL,5.6,5.35,4.67
NSE:HDFC,2806.6,2808.75,-0.08
NSE:GOENKA,1.2,1.15,4.35
NSE:ENERGYDEV,11.25,11.25,0
NSE:SCHNEIDER,122.5,119.75,2.3
NSE:TATAELXSI,6303.35,6259.95,0.69
NSE:SWARAJENG,1759.25,1753.6,0.32
NSE:RECLTD,167.25,164.75,1.52
NSE:PEL,2852.2,2835.75,0.58
NSE:ADANIPORTS,824.2,812.8,1.4
NSE:OFSS,4783.95,4777.7,0.13
NSE:LICHSGFIN,454.4,443.3,2.5
NSE:PFS,21.85,21.4,2.1
NSE:PFC,153,148.95,2.72
NSE:MUTHOOTFIN,1570.7,1552.6,1.17
NSE:FACT,127.2,127.2,0
NSE:GSPL,320.8,318.25,0.8
NSE:GAIL,163,160.05,1.84
NSE:POWERGRID,207.15,204.65,1.22
NSE:VHL,3180.1,3183.45,-0.11
NSE:HINDUNILVR,2653.95,2649.55,0.17
NSE:HINDPETRO,337.05,331.35,1.72
NSE:HCC,11.25,10.65,5.63
