Symbol,Company Name,Price,PrevDayClose,ChangeInPercentage,volumn
NSE:RELIANCE,Reliance Industries Limited,2735,2700.4,1.28,4742408
NSE:TCS,Tata Consultancy Services Limited,3631.1,3611.45,0.54,2812735
NSE:HDFCBANK,HDFC Bank Limited,1675.85,1687.4,-0.68,12085187
NSE:INFY,Infosys Limited,1779,1715.75,3.69,9641195
NSE:HINDUNILVR,Hindustan Unilever Limited,2648.65,2649.55,-0.03,1257395
NSE:HDFC,Housing Development Finance Corporation Limited,2815.65,2808.75,0.25,2096497
NSE:ICICIBANK,ICICI Bank Limited,747.5,727.3,2.78,12912889
NSE:KOTAKBANK,Kotak Mahindra Bank Limited,2022.95,2017.8,0.26,1565625
NSE:SBIN,State Bank of India,496.85,490.6,1.27,16405699
NSE:BAJFINANCE,Bajaj Finance Limited,7865.75,7862.9,0.04,744470
NSE:BHARTIARTL,Bharti Airtel Limited,682.9,685.8,-0.42,5907552
NSE:ITC,ITC Limited,261.75,256.55,2.03,48146263
NSE:HCLTECH,HCL Technologies Limited,1218.5,1251.15,-2.61,19714474
NSE:ASIANPAINT,Asian Paints Limited,3254.6,3297.8,-1.31,1261082
NSE:WIPRO,Wipro Limited,706.7,708.25,-0.22,8070835
NSE:AXISBANK,Axis Bank Limited,815.6,802.05,1.69,9006813
NSE:MARUTI,Maruti Suzuki India Limited,7675.5,7496.9,2.38,777935
NSE:LT,Larsen & Toubro Limited,1794.1,1789.3,0.27,1491572
NSE:ULTRACEMCO,UltraTech Cement Limited,7632.4,7395.5,3.2,798024
NSE:DMART,Avenue Supermarts Limited,4976.3,5323.75,-6.53,3797116
NSE:ADANIGREEN,Adani Green Energy Limited,1203,1206.55,-0.29,216861
NSE:BAJAJFINSV,Bajaj Finserv Limited,18743.75,18488.9,1.38,252962
NSE:SUNPHARMA,Sun Pharmaceutical Industries Limited,838.1,841.3,-0.38,2257166
NSE:ADANIPORTS,Adani Ports and Special Economic Zone Limited,818.8,812.8,0.74,7572722
NSE:HDFCLIFE,HDFC Life Insurance Company Limited,705.45,693.8,1.68,4099484
NSE:TITAN,Titan Company Limited,2603.05,2564.05,1.52,2256203
NSE:ONGC,Oil & Natural Gas Corporation Limited,162.75,159.05,2.33,19746002
NSE:HINDZINC,Hindustan Zinc Limited,389.5,346.7,12.34,7856993
NSE:ADANIENT,Adani Enterprises Limited,1621.05,1646.35,-1.54,3173669
NSE:JSWSTEEL,JSW Steel Limited,725,692.85,4.64,8165071
NSE:POWERGRID,Power Grid Corporation of India Limited,202.65,204.65,-0.98,25980654
NSE:SHREECEM,SHREE CEMENT LIMITED,28245.05,27956.45,1.03,24173
NSE:BAJAJ-AUTO,Bajaj Auto Limited,3906,3965.9,-1.51,345746
NSE:ATGL,Adani Total Gas Limited,1468.1,1452,1.11,688447
NSE:NTPC,NTPC Limited,148.85,149.4,-0.37,21077697
NSE:TATAMOTORS,Tata Motors Limited,509.1,497.6,2.31,62965596
NSE:ADANITRANS,Adani Transmission Limited,1737,1687.3,2.95,79036
NSE:M&M,Mahindra & Mahindra Limited,915.65,931.4,-1.69,2299013
NSE:DIVISLAB,Divi's Laboratories Limited,5346.9,5372.15,-0.47,441470
NSE:TECHM,Tech Mahindra Limited,1465.3,1430.8,2.41,2799816
NSE:DABUR,Dabur India Limited,615.25,615.2,0.01,1098711
NSE:GRASIM,Grasim Industries Limited,1772.9,1752.5,1.16,1090225
NSE:BPCL,Bharat Petroleum Corporation Limited,463.9,459.3,1,3350148
NSE:PIDILITIND,Pidilite Industries Limited,2501.95,2481.1,0.84,229441
NSE:TATASTEEL,Tata Steel Limited,1421.15,1375.05,3.35,9324974
NSE:SBILIFE,SBI Life Insurance Company Limited,1196.25,1185.55,0.9,743087
NSE:BRITANNIA,Britannia Industries Limited,3858.45,3894.85,-0.93,173220
NSE:SBICARD,SBI Cards and Payment Services Limited,1144,1134.95,0.8,890445
NSE:IOC,Indian Oil Corporation Limited,135.85,134.4,1.08,12206311
NSE:VEDL,Vedanta Limited,375.15,331.9,13.03,42961264
NSE:COALINDIA,Coal India Limited,184.8,183.8,0.54,13525737
NSE:DRREDDY,Dr. Reddy's Laboratories Limited,4889.75,4958.7,-1.39,247343
NSE:GODREJCP,Godrej Consumer Products Limited,1019.5,1038.7,-1.85,1023111
NSE:BERGEPAINT,Berger Paints (I) Limited,843.4,838.45,0.59,481927
NSE:INDUSINDBK,IndusInd Bank Limited,1220.6,1210,0.88,3821594
NSE:HINDALCO,Hindalco Industries Limited,541.85,516.1,4.99,20612795
NSE:EICHERMOT,Eicher Motors Limited,2821.4,2853.2,-1.11,253793
NSE:DLF,DLF Limited,445.35,434.9,2.4,6979640
NSE:LTI,Larsen & Toubro Infotech Limited,5945,6098.9,-2.52,571947
NSE:INDUSTOWER,Indus Towers Limited,300.75,306,-1.72,2467113
NSE:HAVELLS,Havells India Limited,1452.3,1474.1,-1.48,1482361
NSE:CIPLA,Cipla Limited,901.2,911.35,-1.11,1526919
NSE:SIEMENS,Siemens Limited,2270.1,2269.35,0.03,204180
NSE:ICICIGI,ICICI Lombard General Insurance Company Limited,1526.3,1520.25,0.4,355208
NSE:ICICIPRULI,ICICI Prudential Life Insurance Company Limited,677,651.95,3.84,1478120
NSE:MOTHERSUMI,Motherson Sumi Systems Limited,239.25,246.55,-2.96,8913788
NSE:INDIGO,InterGlobe Aviation Limited,2053.75,2073.2,-0.94,355964
NSE:HDFCAMC,HDFC Asset Management Company Limited,2940.85,2950.15,-0.32,262580
NSE:AMBUJACEM,Ambuja Cements Limited,417.15,408.75,2.06,3347101
NSE:GAIL,GAIL (India) Limited,162,160.05,1.22,13235849
NSE:TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,846.5,849.6,-0.36,1479613
NSE:HEROMOTOCO,Hero MotoCorp Limited,2920.9,2927.8,-0.24,313685
NSE:NAUKRI,Info Edge (India) Limited,7003.1,7008.85,-0.08,185351
NSE:BANDHANBNK,Bandhan Bank Limited,332,323.4,2.66,4590912
NSE:MARICO,Marico Limited,579.9,579.3,0.1,1666806
NSE:AUROPHARMA,Aurobindo Pharma Limited,721.75,727.15,-0.74,1390972
NSE:BIOCON,Biocon Limited,343.1,347.65,-1.31,2454080
NSE:UPL,UPL Limited,751.75,747.85,0.52,2162718
NSE:MUTHOOTFIN,Muthoot Finance Limited,1562.55,1552.6,0.64,447765
NSE:LUPIN,Lupin Limited,940.25,946.45,-0.66,1277898
