Symbol,Price,Company name
NSE:BHARTIARTL,690.15,Bharti Airtel Limited
NSE:ASHOKLEY,144.5,Ashok Leyland Limited
NSE:AUROPHARMA,721.65,Aurobindo Pharma Limited
NSE:SANWARIA,0.7,Sanwaria Agro Oils Limited
NSE:ALMONDZ,134.7,Almondz Global Securities Limited
NSE:SBIN,496.65,State Bank of India
NSE:BPCL,462.7,Bharat Petroleum Corporation Limited
NSE:MBECL,6.85,McNally Bharat Engineering Company Limited
NSE:MAHABANK,21.4,Bank of Maharashtra
NSE:BOSCHLTD,17900,Bosch Limited
NSE:IDBI,63,IDBI Bank Limited
NSE:DABUR,621.8,Dabur India Limited
NSE:TCIDEVELOP,364,TCI Developers Limited
NSE:DRREDDY,4916,Dr. Reddy's Laboratories Limited
NSE:DPSCLTD,16.85,India Power Corporation Limited
NSE:PRABHAT,NaN,Prabhat Dairy Limited
NSE:MAHLIFE,282.7,Mahindra Lifespace Developers Limited
NSE:LPDC,4.6,Landmark Property Development Company Limited
NSE:KAUSHALYA,2.8,Kaushalya Infrastructure Development Corporation Limited
NSE:IRB,219.65,IRB Infrastructure Developers Limited
NSE:HDIL,5.55,Housing Development and Infrastructure Limited
NSE:HDFC,2810.65,Housing Development Finance Corporation Limited
NSE:GOENKA,1.2,Goenka Diamond and Jewels Limited
NSE:ENERGYDEV,11.2,Energy Development Company Limited
NSE:SCHNEIDER,122.85,Schneider Electric Infrastructure Limited
NSE:TATAELXSI,6265,Tata Elxsi Limited
NSE:SWARAJENG,1758,Swaraj Engines Limited
NSE:RECLTD,166.05,Rural Electrification Corporation Limited
NSE:PEL,2844.5,Piramal Enterprises Limited
NSE:EVERONN,NaN,Everonn Education Limited
NSE:ESSELPACK,NaN,Essel Propack Limited
NSE:ENTEGRA,NaN,Entegra Limited
NSE:ADANIPORTS,824.45,Adani Ports and Special Economic Zone Limited
NSE:OFSS,4783.05,Oracle Financial Services Software Limited
NSE:LICHSGFIN,452.9,LIC Housing Finance Limited
NSE:SITASHREE,NaN,Sita Shree Food Products Limited
NSE:PFS,22.25,PTC India Financial Services Limited
NSE:PFC,151.25,Power Finance Corporation Limited
NSE:MUTHOOTFIN,1576.4,Muthoot Finance Limited
NSE:MAX,NaN,Max Financial Services Limited
NSE:MAGMA,NaN,Magma Fincorp Limited
NSE:FACT,127.6,The Fertilisers And Chemicals Travancore Limited
NSE:WEIZFOREX,NaN,Weizmann Forex Limited
NSE:GSPL,320.75,Gujarat State Petronet Limited
NSE:GAIL,162.5,GAIL (India) Limited
NSE:POWERGRID,207.15,Power Grid Corporation of India Limited
NSE:VHL,3209,Vardhman Holdings Limited
NSE:HINDUNILVR,2676.05,Hindustan Unilever Limited
NSE:HINDPETRO,336.75,Hindustan Petroleum Corporation Limited
NSE:HCC,10.75,Hindustan Construction Company Limited
NSE:HIRECT,190.95,Hind Rectifiers Limited
NSE:SYNCOM,NaN,Syncom Healthcare Limited
NSE:ROHLTD,93.35,Royal Orchid Hotels Limited
NSE:JUBLINDS,530,Jubilant Industries Limited
NSE:JISLJALEQS,51.75,Jain Irrigation Systems Limited
NSE:ZODJRDMKJ,NaN,Zodiac-JRD-MKJ Limited
NSE:SBBJ,NaN,State Bank of Bikaner & Jaipur
NSE:PCJEWELLER-EQ,NaN,PC JEWELLER LIMITE INR10
NSE:JYOTHYLAB,163.25,Jyothy Laboratories Limited
NSE:JUBLFOOD,4350,Jubilant FoodWorks Limited
NSE:JUBILANT,NaN,Jubilant Life Sciences Limited
NSE:JSWSTEEL,713.5,JSW Steel Limited
NSE:JPPOWER,5.45,Jaiprakash Power Ventures Limited
NSE:JPOLYINVST,131.25,Jindal Poly Investment and Finance Company Limited
NSE:JKTYRE,153.25,JK Tyre & Industries Limited
NSE:JKPAPER,253.75,JK Paper Limited
NSE:JISLDVREQS,29.65,Jain Irrigation Systems Limited
NSE:JINDCOT,3.7,Jindal Cotex Limited
NSE:JINDALSAW,124.85,Jindal Saw Limited
NSE:JBFIND,24.45,JBF Industries Limited
NSE:JAIHINDPRO,NaN,Jaihind Projects Limited
NSE:JAGRAN,62.5,Jagran Prakashan Limited
NSE:JMFINANCIL-EQ,NaN,JM FINANCIAL INR1
NSE:JAGSNPHARM-EQ,NaN,JAGSONPAL PHARMACE INR5
NSE:JAMNAAUTO,99.3,Jamna Auto Industries Limited
NSE:JAICORPLTD,138.8,Jai Corp Limited
NSE:JMA,71.05,Jullundur Motor Agency (Delhi) Limited
NSE:JYOTISTRUC-EQ,NaN,JYOTI STRUCTURES INR2
NSE:JUSTDIAL,927.35,Just Dial Limited
NSE:JKIL,178.55,J. Kumar Infraprojects Limited
NSE:J&KBANK,41.15,The Jammu and Kashmir Bank Limited
NSE:JUSTDIAL-EQ,NaN,JUST DIAL LTD INR10
NSE:J&KBANK-EQ,NaN,THE JAMMU & KASHMIR BANK LIMITE
NSE:JAMNAAUTO-EQ,NaN,JAMNA AUTO INDUSTRIES LIMITED
NSE:JSWSTEEL-P2,NaN,JSW STEEL LTD 0.01% PRF 15/03/1
NSE:JCTEL-EQ,NaN,JCT ELECTRONICS INR1.00
NSE:PCJEWELLER,30,PC Jeweller Limited
NSE:JSWHL-EQ,NaN,JSW HOLDINGS LIMIT INR10
NSE:TARAJEWELS,NaN,Tara Jewels Limited
NSE:JSWENERGY,397,JSW Energy Limited
NSE:JAYNECOIND-EQ,NaN,JAYASWAL NECO IND INR10
NSE:JKCEMENT,3498.05,J.K. Cement Limited
NSE:JUMBO-BZ,NaN,JUMBO-BZ.NS
NSE:JKPAPER-EQ,NaN,JK PAPER LIMITED
NSE:JUNIORBEES,471.27,Goldman Sachs Junior BeES ETF
NSE:JINDCOT-EQ,NaN,JINDAL COTEX LIMITED
NSE:JINDALPHOT,163,Jindal Photo Limited
NSE:JAIBALAJI-EQ,NaN,JAI BALAJI INDUSTRIES LIMITED
NSE:JAYAGROGN,253.6,Jayant Agro-Organics Limited
NSE:JAIBALAJI,56.1,Jai Balaji Industries Limited
NSE:JINDWORLD,115.7,Jindal Worldwide Limited
NSE:JIKIND-BE,NaN,JIK INDUSTRIES INR10
NSE:JMTAUTOLTD-EQ,NaN,JMT AUTO LIMITED
NSE:JSWHL,4787.55,JSW Holdings Limited
NSE:JAIHINDPRO-EQ,NaN,JAIHIND PROJECTS LIMITED
NSE:KPRMILL,466.35,K.P.R. Mill Limited
NSE:KPIT,NaN,KPIT Technologies Limited
NSE:KOTAKBANK,2038,Kotak Mahindra Bank Limited
NSE:KTIL,NaN,Kesar Terminals & Infrastructure Limited
NSE:KSK,NaN,KSK Energy Ventures Limited
